scope,query_id,split,system,P@10,R@20,F1,NDCG@20,hallucinated_or_out_of_pool,total_tokens,latency_s
resolvable,RealScholarQuery_13,test,scholarloop_a_v2,0.3,0.3,0.3,0.4537425745411855,0,0,12.694043199997395
resolvable,RealScholarQuery_14,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_14,test,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_14,test,neural_embedding_v2,0.3,0.375,0.33333333333333326,0.41037377546745274,0,0,0.0
resolvable,RealScholarQuery_14,test,single_llm,0.2,0.25,0.22222222222222224,0.41253177989255346,0,947,3.91755369999737
resolvable,RealScholarQuery_14,test,scholarloop_a_v2_no_rerank,0.2,0.25,0.22222222222222224,0.26852556974265224,0,0,0.0
resolvable,RealScholarQuery_14,test,scholarloop_a_v2,0.2,0.25,0.22222222222222224,0.22432294601898897,0,0,8.220605399998021
resolvable,RealScholarQuery_15,holdout,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_15,holdout,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_15,holdout,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_15,holdout,single_llm,0.1,0.2,0.13333333333333333,0.21398626473452756,0,1242,5.8094962000031956
resolvable,RealScholarQuery_15,holdout,scholarloop_a_v2_no_rerank,0.1,0.2,0.13333333333333333,0.21398626473452756,0,0,0.0
resolvable,RealScholarQuery_15,holdout,scholarloop_a_v2,0.1,0.2,0.13333333333333333,0.13120507751234178,0,0,10.676250200005597
resolvable,RealScholarQuery_16,train,keyword,0.1,0.25,0.14285714285714288,0.14768753669755966,0,0,0.0
resolvable,RealScholarQuery_16,train,bm25,0.2,0.375,0.26086956521739135,0.28755862171090324,0,0,0.0
resolvable,RealScholarQuery_16,train,neural_embedding_v2,0.4,0.75,0.5217391304347827,0.6501692541822276,0,0,0.0
resolvable,RealScholarQuery_16,train,single_llm,0.2,0.25,0.22222222222222224,0.37941405415148566,0,2247,15.777264100004686
resolvable,RealScholarQuery_16,train,scholarloop_a_v2_no_rerank,0.4,0.625,0.48780487804878053,0.4945169119179427,0,0,0.0
resolvable,RealScholarQuery_16,train,scholarloop_a_v2,0.4,0.5,0.4444444444444445,0.5440450242764592,0,0,37.29746729999897
resolvable,RealScholarQuery_17,test,keyword,0.1,0.1111111111111111,0.10526315789473685,0.1482972305701491,0,0,0.0
resolvable,RealScholarQuery_17,test,bm25,0.1,0.1111111111111111,0.10526315789473685,0.1482972305701491,0,0,0.0
resolvable,RealScholarQuery_17,test,neural_embedding_v2,0.1,0.1111111111111111,0.10526315789473685,0.23504554941448536,0,0,0.0
resolvable,RealScholarQuery_17,test,single_llm,0.2,0.2222222222222222,0.2105263157894737,0.35256832412172806,0,1238,6.1961042000039015
resolvable,RealScholarQuery_17,test,scholarloop_a_v2_no_rerank,0.1,0.1111111111111111,0.10526315789473685,0.07834851647149511,0,0,0.0
resolvable,RealScholarQuery_17,test,scholarloop_a_v2,0.2,0.2222222222222222,0.2105263157894737,0.23202214456934253,0,0,14.49966790000326
resolvable,RealScholarQuery_18,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
